profile_id,condition,gender,age_band,race,education,income,party
synthetic_69,Oil industry misinformation,Male,30-44,Hispanic / Latino,Less than high school,"Less than $30,000",Independent
synthetic_70,Oil industry misinformation,Male,18-29,White / Caucasian,High school diploma / GED,"$30,000 to $55,999",Independent
synthetic_71,Social justice,Female,60+,White / Caucasian,Bachelor's degree,"$30,000 to $55,999",Republican
synthetic_72,Extreme weather predictions,Female,30-44,Hispanic / Latino,High school diploma / GED,"$168,000 or more",Other
synthetic_73,control,Female,30-44,White / Caucasian,Bachelor's degree,"$168,000 or more",Independent
synthetic_74,Peer-review,Male,18-29,White / Caucasian,Some college or Associate's degree,"Less than $30,000",Democrat
synthetic_75,Model accuracy,Female,60+,Hispanic / Latino,Less than high school,"Less than $30,000",Republican
synthetic_76,Portrait Prof. Cherry,Male,30-44,Hispanic / Latino,Less than high school,"$100,000 to $167,999",Republican
synthetic_77,Funding,Male,18-29,White / Caucasian,High school diploma / GED,"$168,000 or more",Independent
synthetic_78,Measurement & modeling (1),Female,60+,White / Caucasian,High school diploma / GED,"Less than $30,000",Republican
synthetic_79,Former skeptics,Female,60+,White / Caucasian,Doctorate degree / Ph.D.,"$56,000 to $99,999",Independent
synthetic_80,Interview Prof. Sebille,Male,18-29,Hispanic / Latino,High school diploma / GED,"$30,000 to $55,999",Other
synthetic_81,Portrait Prof. Cherry,Female,60+,Black / African American,Less than high school,"$56,000 to $99,999",Other
synthetic_82,Funding,Female,60+,Asian / Asian American,High school diploma / GED,"$100,000 to $167,999",Democrat
synthetic_83,Corporate reliance,Female,45-59,Asian / Asian American,Bachelor's degree,"$100,000 to $167,999",Republican
synthetic_84,Measurement & modeling (2),Female,60+,White / Caucasian,High school diploma / GED,"$30,000 to $55,999",Republican
synthetic_85,Interview Prof. Maraun,Male,30-44,Hispanic / Latino,High school diploma / GED,"$56,000 to $99,999",Democrat
synthetic_86,Measurement & modeling (2),Female,60+,Hispanic / Latino,High school diploma / GED,"$168,000 or more",Democrat
synthetic_87,Corporate reliance,Male,18-29,Other,High school diploma / GED,"$168,000 or more",Democrat
synthetic_88,Model accuracy,Female,45-59,White / Caucasian,Master's degree / Professional degree,"$100,000 to $167,999",Democrat
synthetic_89,Measurement & modeling (1),Male,60+,Hispanic / Latino,High school diploma / GED,"$30,000 to $55,999",Other
synthetic_90,Portrait Prof. Cherry,Male,30-44,Asian / Asian American,Some college or Associate's degree,"$56,000 to $99,999",Democrat
synthetic_91,Consensus,Male,45-59,White / Caucasian,High school diploma / GED,"$56,000 to $99,999",Republican
synthetic_92,Extreme weather predictions,Male,60+,Asian / Asian American,Master's degree / Professional degree,"Less than $30,000",Republican
synthetic_93,Funding,Female,30-44,Hispanic / Latino,Less than high school,"$100,000 to $167,999",Independent
synthetic_94,Model accuracy,Male,30-44,White / Caucasian,Bachelor's degree,"$30,000 to $55,999",Independent
synthetic_95,Portrait Prof. Cherry,Female,60+,White / Caucasian,High school diploma / GED,"$100,000 to $167,999",Independent
synthetic_96,control,Female,30-44,Black / African American,Some college or Associate's degree,"$56,000 to $99,999",Democrat
synthetic_97,Former skeptics,Male,18-29,Other,Some college or Associate's degree,"$168,000 or more",Democrat
synthetic_98,Former skeptics,Female,45-59,Black / African American,High school diploma / GED,"$100,000 to $167,999",Independent
synthetic_99,control,Female,18-29,White / Caucasian,Less than high school,"$30,000 to $55,999",Republican
synthetic_100,Scientist community helpers,Male,60+,White / Caucasian,Bachelor's degree,"$30,000 to $55,999",Republican
synthetic_101,Social justice,Male,30-44,White / Caucasian,Some college or Associate's degree,"$168,000 or more",Independent
synthetic_102,Former skeptics,Female,30-44,Hispanic / Latino,High school diploma / GED,"Less than $30,000",Other
synthetic_103,Funding,Female,60+,Black / African American,High school diploma / GED,"Less than $30,000",Democrat
synthetic_104,Interview Prof. Maraun,Female,30-44,White / Caucasian,High school diploma / GED,"$56,000 to $99,999",Republican
synthetic_105,Interview Prof. Maraun,Male,45-59,White / Caucasian,Master's degree / Professional degree,"Less than $30,000",Republican
synthetic_106,High public trust,Female,60+,Black / African American,High school diploma / GED,"$56,000 to $99,999",Democrat
synthetic_107,Oil industry misinformation,Male,60+,Black / African American,Master's degree / Professional degree,"Less than $30,000",Republican
synthetic_108,Corporate reliance,Male,18-29,White / Caucasian,High school diploma / GED,"Less than $30,000",Democrat
synthetic_109,Measurement & modeling (2),Male,30-44,Black / African American,Master's degree / Professional degree,"$168,000 or more",Democrat
synthetic_110,Measurement & modeling (1),Male,45-59,White / Caucasian,Some college or Associate's degree,"$100,000 to $167,999",Republican
synthetic_111,Former skeptics,Female,45-59,Hispanic / Latino,Some college or Associate's degree,"$56,000 to $99,999",Democrat
synthetic_112,Consensus,Male,60+,Black / African American,Some college or Associate's degree,"$30,000 to $55,999",Democrat
synthetic_113,Oil industry misinformation,Female,18-29,White / Caucasian,Bachelor's degree,"$168,000 or more",Independent
synthetic_114,Model accuracy,Female,30-44,Hispanic / Latino,Some college or Associate's degree,"$168,000 or more",Democrat
synthetic_115,Social justice,Male,30-44,White / Caucasian,Some college or Associate's degree,"$30,000 to $55,999",Republican
synthetic_116,Model accuracy,Female,60+,Asian / Asian American,High school diploma / GED,"$168,000 or more",Independent
synthetic_117,Interview Prof. Maraun,Female,60+,Black / African American,High school diploma / GED,"$56,000 to $99,999",Independent
synthetic_118,Measurement & modeling (1),Male,45-59,White / Caucasian,Bachelor's degree,"$168,000 or more",Democrat
synthetic_119,Portrait Prof. Cherry,Male,18-29,Other,High school diploma / GED,"$168,000 or more",Republican
synthetic_120,Extreme weather predictions,Female,18-29,Hispanic / Latino,High school diploma / GED,"$100,000 to $167,999",Democrat
synthetic_121,Corporate reliance,Female,45-59,White / Caucasian,Bachelor's degree,"$30,000 to $55,999",Other
synthetic_122,Former skeptics,Male,60+,White / Caucasian,Some college or Associate's degree,"Less than $30,000",Republican
synthetic_123,Scientist community helpers,Female,60+,White / Caucasian,Some college or Associate's degree,"$100,000 to $167,999",Republican
synthetic_124,Former skeptics,Male,60+,White / Caucasian,High school diploma / GED,"$100,000 to $167,999",Republican
synthetic_125,Oil industry misinformation,Female,30-44,Other,High school diploma / GED,"$100,000 to $167,999",Republican
synthetic_126,Interview Prof. Maraun,Male,45-59,White / Caucasian,Some college or Associate's degree,"$100,000 to $167,999",Republican
synthetic_127,Measurement & modeling (1),Female,60+,White / Caucasian,Some college or Associate's degree,"$30,000 to $55,999",Other
synthetic_128,Portrait Prof. Cherry,Male,60+,Black / African American,High school diploma / GED,"$56,000 to $99,999",Other
synthetic_129,Corporate reliance,Female,60+,White / Caucasian,Some college or Associate's degree,"$100,000 to $167,999",Independent
synthetic_130,Scientist community helpers,Male,45-59,White / Caucasian,Bachelor's degree,"$100,000 to $167,999",Democrat
synthetic_131,Peer-review,Male,60+,White / Caucasian,Master's degree / Professional degree,"$56,000 to $99,999",Republican
synthetic_132,Portrait Prof. Cherry,Female,30-44,White / Caucasian,Some college or Associate's degree,"$168,000 or more",Republican
synthetic_133,Corporate reliance,Male,45-59,Black / African American,Bachelor's degree,"$30,000 to $55,999",Democrat
synthetic_134,Funding,Male,60+,White / Caucasian,High school diploma / GED,"Less than $30,000",Independent
synthetic_135,Measurement & modeling (1),Female,60+,White / Caucasian,High school diploma / GED,"$100,000 to $167,999",Independent
synthetic_136,Measurement & modeling (1),Female,30-44,Black / African American,Some college or Associate's degree,"$30,000 to $55,999",Democrat
synthetic_137,Scientist community helpers,Female,30-44,Black / African American,Master's degree / Professional degree,"$30,000 to $55,999",Democrat
synthetic_138,Interview Prof. Sebille,Male,45-59,White / Caucasian,High school diploma / GED,"$56,000 to $99,999",Independent
synthetic_139,Interview Prof. Maraun,Male,45-59,White / Caucasian,Some college or Associate's degree,"$168,000 or more",Republican
synthetic_140,control,Male,60+,White / Caucasian,High school diploma / GED,"Less than $30,000",Republican
synthetic_141,Portrait Prof. Cherry,Male,18-29,White / Caucasian,Some college or Associate's degree,"$100,000 to $167,999",Independent
synthetic_142,Interview Prof. Sebille,Female,18-29,White / Caucasian,High school diploma / GED,"$100,000 to $167,999",Other
synthetic_143,control,Male,18-29,White / Caucasian,Some college or Associate's degree,"$56,000 to $99,999",Independent
synthetic_144,Scientist community helpers,Male,60+,Hispanic / Latino,Less than high school,"$56,000 to $99,999",Independent
synthetic_145,Interview Prof. Sebille,Other,60+,Black / African American,Less than high school,"$100,000 to $167,999",Independent
synthetic_146,Social justice,Female,45-59,White / Caucasian,Master's degree / Professional degree,"Less than $30,000",Democrat
synthetic_147,Funding,Other,45-59,White / Caucasian,Master's degree / Professional degree,"$168,000 or more",Independent
synthetic_148,Measurement & modeling (2),Male,60+,Asian / Asian American,Bachelor's degree,"$30,000 to $55,999",Democrat
synthetic_149,Model accuracy,Female,30-44,Hispanic / Latino,Some college or Associate's degree,"$100,000 to $167,999",Other
synthetic_150,Corporate reliance,Female,30-44,White / Caucasian,Bachelor's degree,"$100,000 to $167,999",Democrat
synthetic_151,Interview Prof. Maraun,Male,60+,White / Caucasian,High school diploma / GED,"$30,000 to $55,999",Other
synthetic_152,Consensus,Male,45-59,Hispanic / Latino,Bachelor's degree,"Less than $30,000",Republican
synthetic_153,Extreme weather predictions,Female,18-29,Hispanic / Latino,Some college or Associate's degree,"$30,000 to $55,999",Democrat
synthetic_154,control,Male,30-44,White / Caucasian,Less than high school,"Less than $30,000",Republican
synthetic_155,Corporate reliance,Female,30-44,Other,High school diploma / GED,"$100,000 to $167,999",Other
synthetic_156,Interview Prof. Sebille,Female,18-29,White / Caucasian,Master's degree / Professional degree,"$100,000 to $167,999",Democrat
synthetic_157,Measurement & modeling (1),Male,18-29,White / Caucasian,Master's degree / Professional degree,"$30,000 to $55,999",Republican
synthetic_158,Former skeptics,Female,60+,White / Caucasian,Less than high school,"$30,000 to $55,999",Republican
synthetic_159,Scientist community helpers,Female,30-44,White / Caucasian,Master's degree / Professional degree,"$56,000 to $99,999",Independent
synthetic_160,Measurement & modeling (1),Female,45-59,Hispanic / Latino,Some college or Associate's degree,"$56,000 to $99,999",Democrat
synthetic_161,Extreme weather predictions,Male,60+,White / Caucasian,High school diploma / GED,"$30,000 to $55,999",Democrat
synthetic_162,Extreme weather predictions,Female,18-29,Hispanic / Latino,Some college or Associate's degree,"$30,000 to $55,999",Independent
synthetic_163,Extreme weather predictions,Male,30-44,Asian / Asian American,Bachelor's degree,"$100,000 to $167,999",Independent
synthetic_164,Interview Prof. Sebille,Male,60+,White / Caucasian,Some college or Associate's degree,"$30,000 to $55,999",Republican
synthetic_165,Peer-review,Female,18-29,Asian / Asian American,Bachelor's degree,"Less than $30,000",Democrat
synthetic_166,Consensus,Male,60+,White / Caucasian,Bachelor's degree,"$168,000 or more",Republican
synthetic_167,Funding,Male,45-59,White / Caucasian,Bachelor's degree,"$168,000 or more",Independent
synthetic_168,Scientist community helpers,Female,60+,White / Caucasian,Bachelor's degree,"$168,000 or more",Democrat
synthetic_169,Interview Prof. Maraun,Male,60+,White / Caucasian,Master's degree / Professional degree,"Less than $30,000",Democrat
synthetic_170,Corporate reliance,Male,60+,White / Caucasian,High school diploma / GED,"Less than $30,000",Republican
synthetic_171,Model accuracy,Female,18-29,White / Caucasian,High school diploma / GED,"$168,000 or more",Other
synthetic_172,Interview Prof. Sebille,Male,60+,White / Caucasian,High school diploma / GED,"$100,000 to $167,999",Democrat
synthetic_173,Extreme weather predictions,Male,45-59,White / Caucasian,Some college or Associate's degree,"$100,000 to $167,999",Democrat
synthetic_174,Funding,Male,45-59,Other,Master's degree / Professional degree,"$168,000 or more",Independent
synthetic_175,Former skeptics,Male,45-59,White / Caucasian,Bachelor's degree,"$100,000 to $167,999",Democrat
synthetic_176,Peer-review,Male,18-29,Black / African American,Less than high school,"$30,000 to $55,999",Independent
synthetic_177,Model accuracy,Female,45-59,Hispanic / Latino,High school diploma / GED,"Less than $30,000",Democrat
synthetic_178,Interview Prof. Sebille,Male,18-29,White / Caucasian,High school diploma / GED,"$100,000 to $167,999",Republican
synthetic_179,Corporate reliance,Female,60+,Hispanic / Latino,Less than high school,"$56,000 to $99,999",Independent
synthetic_180,Measurement & modeling (1),Male,60+,White / Caucasian,High school diploma / GED,"$30,000 to $55,999",Other
synthetic_181,Former skeptics,Female,60+,White / Caucasian,High school diploma / GED,"$100,000 to $167,999",Democrat
synthetic_182,Peer-review,Male,45-59,White / Caucasian,Master's degree / Professional degree,"Less than $30,000",Republican
synthetic_183,Extreme weather predictions,Male,60+,Hispanic / Latino,Less than high school,"$100,000 to $167,999",Republican
synthetic_184,Scientist community helpers,Female,18-29,White / Caucasian,Some college or Associate's degree,"$30,000 to $55,999",Independent
synthetic_185,Measurement & modeling (2),Female,30-44,Hispanic / Latino,High school diploma / GED,"$56,000 to $99,999",Independent
synthetic_186,Corporate reliance,Female,18-29,Hispanic / Latino,High school diploma / GED,"$30,000 to $55,999",Democrat
synthetic_187,Corporate reliance,Male,18-29,White / Caucasian,High school diploma / GED,"$100,000 to $167,999",Independent
synthetic_188,Extreme weather predictions,Female,18-29,White / Caucasian,Some college or Associate's degree,"$30,000 to $55,999",Independent
synthetic_189,Scientist community helpers,Male,60+,White / Caucasian,Bachelor's degree,"$56,000 to $99,999",Independent
synthetic_190,Peer-review,Male,45-59,Black / African American,Bachelor's degree,"$56,000 to $99,999",Democrat
synthetic_191,Portrait Prof. Cherry,Male,45-59,Asian / Asian American,Master's degree / Professional degree,"$168,000 or more",Democrat
synthetic_192,Social justice,Male,18-29,White / Caucasian,Some college or Associate's degree,"$56,000 to $99,999",Republican
synthetic_193,Model accuracy,Male,60+,White / Caucasian,Bachelor's degree,"$168,000 or more",Independent
synthetic_194,High public trust,Female,45-59,Black / African American,High school diploma / GED,"$56,000 to $99,999",Independent
synthetic_195,Interview Prof. Sebille,Female,45-59,White / Caucasian,Bachelor's degree,"$168,000 or more",Democrat
synthetic_196,Former skeptics,Female,60+,White / Caucasian,Master's degree / Professional degree,"$30,000 to $55,999",Independent
synthetic_197,Former skeptics,Female,30-44,Hispanic / Latino,Some college or Associate's degree,"$168,000 or more",Independent
synthetic_198,Interview Prof. Sebille,Female,45-59,White / Caucasian,High school diploma / GED,"$168,000 or more",Republican
synthetic_199,Extreme weather predictions,Male,60+,White / Caucasian,Bachelor's degree,"Less than $30,000",Democrat
synthetic_200,control,Female,60+,Other,Bachelor's degree,"Less than $30,000",Independent
synthetic_201,High public trust,Male,30-44,Hispanic / Latino,Bachelor's degree,"$30,000 to $55,999",Independent
synthetic_202,High public trust,Female,30-44,Hispanic / Latino,High school diploma / GED,"$30,000 to $55,999",Democrat
synthetic_203,Measurement & modeling (1),Male,30-44,White / Caucasian,High school diploma / GED,"Less than $30,000",Democrat
synthetic_204,Corporate reliance,Female,18-29,White / Caucasian,Some college or Associate's degree,"$30,000 to $55,999",Other
synthetic_205,Interview Prof. Sebille,Male,60+,White / Caucasian,Master's degree / Professional degree,"$30,000 to $55,999",Independent
synthetic_206,Extreme weather predictions,Male,30-44,Black / African American,High school diploma / GED,"$56,000 to $99,999",Independent
synthetic_207,Extreme weather predictions,Male,45-59,White / Caucasian,High school diploma / GED,"$100,000 to $167,999",Other
synthetic_208,Corporate reliance,Male,18-29,Black / African American,High school diploma / GED,"Less than $30,000",Other
synthetic_209,Social justice,Female,45-59,White / Caucasian,Some college or Associate's degree,"$56,000 to $99,999",Independent
synthetic_210,Scientist community helpers,Male,45-59,White / Caucasian,Some college or Associate's degree,"$168,000 or more",Democrat
synthetic_211,Former skeptics,Male,60+,Hispanic / Latino,High school diploma / GED,"$168,000 or more",Democrat
synthetic_212,Measurement & modeling (2),Male,30-44,Hispanic / Latino,High school diploma / GED,"$56,000 to $99,999",Republican
synthetic_213,Extreme weather predictions,Male,60+,Asian / Asian American,Some college or Associate's degree,"$168,000 or more",Independent
synthetic_214,High public trust,Male,45-59,White / Caucasian,Bachelor's degree,"$30,000 to $55,999",Republican
synthetic_215,Scientist community helpers,Female,18-29,White / Caucasian,Bachelor's degree,"$56,000 to $99,999",Democrat
synthetic_216,Interview Prof. Maraun,Male,18-29,White / Caucasian,Bachelor's degree,"Less than $30,000",Independent
synthetic_217,Model accuracy,Male,18-29,Hispanic / Latino,High school diploma / GED,"$100,000 to $167,999",Independent
synthetic_218,Scientist community helpers,Female,60+,Black / African American,High school diploma / GED,"$56,000 to $99,999",Democrat
synthetic_219,Social justice,Male,18-29,White / Caucasian,Bachelor's degree,"$100,000 to $167,999",Democrat
synthetic_220,Measurement & modeling (2),Male,60+,White / Caucasian,Some college or Associate's degree,"$100,000 to $167,999",Republican
synthetic_221,Social justice,Female,60+,White / Caucasian,Doctorate degree / Ph.D.,"$56,000 to $99,999",Other
synthetic_222,Oil industry misinformation,Female,18-29,White / Caucasian,Some college or Associate's degree,"$168,000 or more",Other
synthetic_223,Former skeptics,Male,18-29,White / Caucasian,Bachelor's degree,"$100,000 to $167,999",Democrat
synthetic_224,Measurement & modeling (1),Female,60+,White / Caucasian,Some college or Associate's degree,"$56,000 to $99,999",Other
synthetic_225,Consensus,Male,45-59,White / Caucasian,High school diploma / GED,"$100,000 to $167,999",Other
synthetic_226,Corporate reliance,Male,45-59,Other,Some college or Associate's degree,"Less than $30,000",Independent
synthetic_227,Measurement & modeling (1),Female,30-44,White / Caucasian,High school diploma / GED,"$100,000 to $167,999",Independent
synthetic_228,Funding,Female,18-29,Hispanic / Latino,Less than high school,"$56,000 to $99,999",Democrat
synthetic_229,Social justice,Male,45-59,Hispanic / Latino,Bachelor's degree,"$30,000 to $55,999",Republican
synthetic_230,High public trust,Male,18-29,White / Caucasian,Some college or Associate's degree,"$100,000 to $167,999",Democrat
synthetic_231,Portrait Prof. Cherry,Female,60+,White / Caucasian,Some college or Associate's degree,"Less than $30,000",Independent
synthetic_232,Corporate reliance,Female,60+,White / Caucasian,Some college or Associate's degree,"$56,000 to $99,999",Other
synthetic_233,Former skeptics,Female,60+,White / Caucasian,High school diploma / GED,"$56,000 to $99,999",Republican
synthetic_234,Social justice,Female,18-29,White / Caucasian,Some college or Associate's degree,"$56,000 to $99,999",Republican
synthetic_235,Model accuracy,Male,30-44,Black / African American,High school diploma / GED,"$100,000 to $167,999",Democrat
synthetic_236,Interview Prof. Sebille,Male,18-29,White / Caucasian,Some college or Associate's degree,"$168,000 or more",Independent
synthetic_237,Portrait Prof. Cherry,Female,18-29,Hispanic / Latino,Some college or Associate's degree,"$30,000 to $55,999",Other
synthetic_238,High public trust,Male,60+,Other,Bachelor's degree,"$56,000 to $99,999",Democrat
synthetic_239,Corporate reliance,Male,45-59,White / Caucasian,Bachelor's degree,"$168,000 or more",Republican
synthetic_240,Corporate reliance,Female,60+,Black / African American,Some college or Associate's degree,"Less than $30,000",Democrat
synthetic_241,Interview Prof. Sebille,Male,45-59,White / Caucasian,Master's degree / Professional degree,"$168,000 or more",Republican
synthetic_242,Measurement & modeling (1),Female,18-29,White / Caucasian,Some college or Associate's degree,"$100,000 to $167,999",Republican
synthetic_243,Social justice,Female,45-59,Asian / Asian American,Some college or Associate's degree,"$168,000 or more",Republican
synthetic_244,Portrait Prof. Cherry,Male,60+,White / Caucasian,High school diploma / GED,"$30,000 to $55,999",Democrat
synthetic_245,Former skeptics,Female,45-59,White / Caucasian,Some college or Associate's degree,"$56,000 to $99,999",Other
synthetic_246,Portrait Prof. Cherry,Female,60+,White / Caucasian,Master's degree / Professional degree,"$168,000 or more",Independent
synthetic_247,Measurement & modeling (2),Male,18-29,Hispanic / Latino,High school diploma / GED,"Less than $30,000",Democrat
synthetic_248,Corporate reliance,Female,45-59,Asian / Asian American,Bachelor's degree,"$30,000 to $55,999",Independent
synthetic_249,Interview Prof. Sebille,Female,30-44,Black / African American,Bachelor's degree,"$100,000 to $167,999",Democrat
synthetic_250,Corporate reliance,Male,60+,Asian / Asian American,High school diploma / GED,"$168,000 or more",Republican
synthetic_251,Model accuracy,Male,30-44,Hispanic / Latino,High school diploma / GED,"$168,000 or more",Republican
synthetic_252,Portrait Prof. Cherry,Female,30-44,Asian / Asian American,Bachelor's degree,"$100,000 to $167,999",Democrat
synthetic_253,Consensus,Female,30-44,Black / African American,High school diploma / GED,"$30,000 to $55,999",Democrat
synthetic_254,Oil industry misinformation,Male,30-44,White / Caucasian,High school diploma / GED,"$168,000 or more",Republican
